dete,time,temp,humid
dete,time,temp,humid
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
2022-02-07,11:34:56,36.0,65.0
"2022,2,8",11:50:50,12,13
